Prior input/output:
( 0.309236947791 , 5.44812294657e-06 )
( 0.313253012048 , 5.42198753874e-06 )
( 0.317269076305 , 5.4318544013e-06 )
( 0.321285140562 , 5.47790903207e-06 )
( 0.325301204819 , 5.56101960131e-06 )
( 0.329317269076 , 5.68276246662e-06 )
( 0.333333333333 , 5.84546873305e-06 )
( 0.33734939759 , 6.05229363453e-06 )
( 0.341365461847 , 6.30731139823e-06 )
( 0.345381526104 , 6.61563925714e-06 )
( 0.349397590361 , 6.98359544405e-06 )
( 0.353413654618 , 7.41889738467e-06 )
( 0.357429718876 , 7.93090797286e-06 )
( 0.361445783133 , 8.5309398332e-06 )
( 0.36546184739 , 9.23262994901e-06 )
( 0.369477911647 , 1.00524000725e-05 )
( 0.373493975904 , 1.10100220786e-05 )
( 0.377510040161 , 1.21293120498e-05 )
( 0.381526104418 , 1.34389825986e-05 )
( 0.385542168675 , 1.49736900146e-05 )
( 0.389558232932 , 1.67753215824e-05 )
( 0.393574297189 , 1.88945792616e-05 )
( 0.397590361446 , 2.13929293301e-05 )
( 0.401606425703 , 2.43450041711e-05 )
( 0.40562248996 , 2.78415628501e-05 )
( 0.409638554217 , 3.19931423659e-05 )
( 0.413654618474 , 3.69345625338e-05 )
( 0.417670682731 , 4.28304856327e-05 )
( 0.421686746988 , 4.98822787701e-05 )
( 0.425702811245 , 5.83364841717e-05 )
( 0.429718875502 , 6.84952724439e-05 )
( 0.433734939759 , 8.07293387679e-05 )
( 0.437751004016 , 9.54938048497e-05 )
( 0.441767068273 , 0.00011334781358 )
( 0.44578313253 , 0.000134978652474 )
( 0.449799196787 , 0.000161231420188 )
( 0.453815261044 , 0.00019314546231 )
( 0.457831325301 , 0.000231999052872 )
( 0.461847389558 , 0.000279364091687 )
( 0.465863453815 , 0.00033717292932 )
( 0.469879518072 , 0.00040779982575 )
( 0.473895582329 , 0.00049415999897 )
( 0.477911646586 , 0.000599829727878 )
( 0.481927710843 , 0.000729191539558 )
( 0.4859437751 , 0.000887609130822 )
( 0.489959839357 , 0.00108163733972 )
( 0.493975903614 , 0.00131927318081 )
( 0.497991967871 , 0.00161025466689 )
( 0.502008032129 , 0.00196641482978 )
( 0.506024096386 , 0.00240209898098 )
( 0.510040160643 , 0.00293465376733 )
( 0.5140562249 , 0.00358499690624 )
( 0.518072289157 , 0.00437827654772 )
( 0.522088353414 , 0.00534462890385 )
( 0.526104417671 , 0.00652004199638 )
( 0.530120481928 , 0.00794733196878 )
( 0.534136546185 , 0.00967723625073 )
( 0.538152610442 , 0.0117696248076 )
( 0.542168674699 , 0.0142948266135 )
( 0.546184738956 , 0.0173350632303 )
( 0.550200803213 , 0.0209859748634 )
( 0.55421686747 , 0.0253582164422 )
( 0.558232931727 , 0.0305790921671 )
( 0.562248995984 , 0.0367941866616 )
( 0.566265060241 , 0.0441689395863 )
( 0.570281124498 , 0.0528900986358 )
( 0.574297188755 , 0.0631669737123 )
( 0.578313253012 , 0.0752324033733 )
( 0.582329317269 , 0.0893433341286 )
( 0.586345381526 , 0.105780904701 )
( 0.590361445783 , 0.124849921952 )
( 0.59437751004 , 0.146877613845 )
( 0.598393574297 , 0.1722115486 )
( 0.602409638554 , 0.201216619047 )
( 0.606425702811 , 0.23427100794 )
( 0.610441767068 , 0.271761074038 )
( 0.614457831325 , 0.314075130491 )
( 0.618473895582 , 0.361596125976 )
( 0.622489959839 , 0.414693284482 )
( 0.626506024096 , 0.473712810272 )
( 0.630522088353 , 0.538967818398 )
( 0.63453815261 , 0.610727705861 )
( 0.638554216867 , 0.68920723123 )
( 0.642570281124 , 0.774555618028 )
( 0.646586345382 , 0.866846036316 )
( 0.650602409639 , 0.966065844318 )
( 0.654618473896 , 1.07210798492 )
( 0.658634538153 , 1.18476392806 )
( 0.66265060241 , 1.3037185278 )
( 0.666666666667 , 1.42854712213 )
( 0.670682730924 , 1.55871514405 )
( 0.674698795181 , 1.69358043685 )
( 0.678714859438 , 1.83239837693 )
( 0.682730923695 , 1.97432980787 )
( 0.686746987952 , 2.11845168476 )
( 0.690763052209 , 2.26377022281 )
( 0.694779116466 , 2.40923624444 )
( 0.698795180723 , 2.55376232951 )
( 0.70281124498 , 2.6962412994 )
( 0.706827309237 , 2.83556551013 )
( 0.710843373494 , 2.9706463965 )
( 0.714859437751 , 3.10043369957 )
( 0.718875502008 , 3.22393382386 )
( 0.722891566265 , 3.34022680734 )
( 0.726907630522 , 3.44848144498 )
( 0.730923694779 , 3.54796818105 )
( 0.734939759036 , 3.63806947276 )
( 0.738955823293 , 3.71828742442 )
( 0.74297188755 , 3.78824859012 )
( 0.746987951807 , 3.84770594184 )
( 0.751004016064 , 3.89653809227 )
( 0.755020080321 , 3.93474594489 )
( 0.759036144578 , 3.96244701495 )
( 0.763052208835 , 3.97986772094 )
( 0.767068273092 , 3.98733398696 )
( 0.771084337349 , 3.9852605209 )
( 0.775100401606 , 3.97413914199 )
( 0.779116465863 , 3.9545265262 )
( 0.78313253012 , 3.92703171988 )
( 0.787148594378 , 3.89230374365 )
( 0.791164658635 , 3.85101957226 )
( 0.795180722892 , 3.8038727339 )
( 0.799196787149 , 3.75156272776 )
( 0.803212851406 , 3.69478541185 )
( 0.807228915663 , 3.63422446844 )
( 0.81124497992 , 3.57054401125 )
( 0.815261044177 , 3.50438236008 )
