Mean vec: 
( 0.0 , 0.0 )
( 0.2690763052208835 , 0.8857321005775877 )
( 0.2730923694779116 , 0.8684782334372227 )
( 0.2771084337349397 , 0.8505424130084391 )
( 0.28112449799196787 , 0.8319419960242947 )
( 0.285140562248996 , 0.8126945649759807 )
( 0.2891566265060241 , 0.792817918351473 )
( 0.2931726907630522 , 0.7723300610595609 )
( 0.2971887550200803 , 0.7512491950326058 )
( 0.3012048192771084 , 0.7295937099860085 )
( 0.3052208835341365 , 0.7073821743265447 )
( 0.3092369477911646 , 0.6846333261933049 )
( 0.3132530120481927 , 0.6613660646196479 )
( 0.31726907630522083 , 0.637599440804612 )
( 0.321285140562249 , 0.6133526494782594 )
( 0.3253012048192771 , 0.5886450203529918 )
( 0.3293172690763052 , 0.5634960096468487 )
( 0.3333333333333333 , 0.5379251916652568 )
( 0.3373493975903614 , 0.5119522504339011 )
( 0.34136546184738953 , 0.48559697136642266 )
( 0.34538152610441764 , 0.4588792329589697 )
( 0.34939759036144574 , 0.4318189984969099 )
( 0.35341365461847385 , 0.4044363077636972 )
( 0.35742971887550196 , 0.37675126874070164 )
( 0.36144578313253006 , 0.3487840492817341 )
( 0.3654618473895582 , 0.3205548687557255 )
( 0.36947791164658633 , 0.2920839896400495 )
( 0.37349397590361444 , 0.26339170905523834 )
( 0.37751004016064255 , 0.23449835022384352 )
( 0.38152610441767065 , 0.20542425384464127 )
( 0.38554216867469876 , 0.1761897693633964 )
( 0.38955823293172687 , 0.1468152461290133 )
( 0.393574297188755 , 0.11732102441742981 )
( 0.3975903614457831 , 0.0877274263085348 )
( 0.4016064257028112 , 0.05805474640055744 )
( 0.4056224899598393 , 0.028323242341926555 )
( 0.40963855421686746 , -0.0014468748344720755 )
( 0.41365461847389556 , -0.031235450594564063 )
( 0.41767068273092367 , -0.06102239702505119 )
( 0.4216867469879518 , -0.09078770321182279 )
( 0.4257028112449799 , -0.12051144589670598 )
( 0.429718875502008 , -0.15017380043501383 )
( 0.4337349397590361 , -0.17975505207550463 )
( 0.4377510040160642 , -0.2092356075820741 )
( 0.4417670682730923 , -0.23859600722144247 )
( 0.4457831325301204 , -0.26781693712814597 )
( 0.4497991967871485 , -0.29687924206911226 )
( 0.4538152610441767 , -0.3257639386006465 )
( 0.4578313253012048 , -0.35445222861803044 )
( 0.4618473895582329 , -0.38292551325762825 )
( 0.465863453815261 , -0.41116540707589894 )
( 0.4698795180722891 , -0.43915375235638304 )
( 0.4738955823293172 , -0.46687263326741424 )
( 0.47791164658634533 , -0.49430438934848064 )
( 0.48192771084337344 , -0.5214316273306857 )
( 0.48594377510040154 , -0.5482372292868468 )
( 0.48995983935742965 , -0.5747043527159441 )
( 0.4939759036144578 , -0.6008164114260443 )
( 0.4979919678714859 , -0.6265570005122767 )
( 0.502008032128514 , -0.6469262791614203 )
( 0.5060240963855421 , -0.6618674367108593 )
( 0.5100401606425702 , -0.6763469189866474 )
( 0.5140562248995983 , -0.6903638426594789 )
( 0.5180722891566265 , -0.703917571808032 )
( 0.5220883534136546 , -0.7170077907098561 )
( 0.5261044176706827 , -0.7296345219817572 )
( 0.5301204819277108 , -0.7417981262640994 )
( 0.5341365461847389 , -0.753499294324262 )
( 0.538152610441767 , -0.7647390358530975 )
( 0.5421686746987951 , -0.7755186668691616 )
