Mean vec: 
( 0.0 , 5.684341886080802e-14 )
( 0.7590361445783131 , -0.6584797767763624 )
( 0.7630522088353413 , -0.651804102855344 )
( 0.7670682730923694 , -0.6450410045087999 )
( 0.7710843373493975 , -0.6381960631492046 )
( 0.7751004016064257 , -0.6312748321472709 )
( 0.7791164658634537 , -0.6242828354346254 )
( 0.7831325301204819 , -0.6172255661121313 )
( 0.78714859437751 , -0.6101084850602869 )
( 0.7911646586345381 , -0.6029370195492395 )
( 0.7951807228915662 , -0.5957165618471949 )
( 0.7991967871485943 , -0.5884524678261701 )
( 0.8032128514056224 , -0.5811500555600801 )
( 0.8072289156626505 , -0.5738146039153689 )
( 0.8112449799196786 , -0.5664513511308286 )
( 0.8152610441767068 , -0.5590654933834847 )
( 0.8192771084337349 , -0.5516621833411408 )
( 0.823293172690763 , -0.5442465286941532 )
( 0.8273092369477911 , -0.5368235906682172 )
( 0.8313253012048192 , -0.5293983825121127 )
( 0.8353413654618473 , -0.5219758679587684 )
( 0.8393574297188754 , -0.5145609596580484 )
( 0.8433734939759036 , -0.5071585175720661 )
( 0.8473895582329316 , -0.4997733473383427 )
( 0.8514056224899598 , -0.49241019858636137 )
( 0.8554216867469878 , -0.48507376321408824 )
( 0.859437751004016 , -0.4777686736088969 )
( 0.8634538152610441 , -0.47049950081915515 )
( 0.8674698795180722 , -0.46327075266038553 )
( 0.8714859437751004 , -0.45608687175724993 )
( 0.8755020080321284 , -0.4489522335131293 )
( 0.8795180722891566 , -0.4418711439967618 )
( 0.8835341365461846 , -0.4348478377438705 )
( 0.8875502008032128 , -0.42788647545841474 )
( 0.8915662650602408 , -0.42099114160879986 )
( 0.895582329317269 , -0.4141658419032854 )
( 0.899598393574297 , -0.4074145006364048 )
( 0.9036144578313252 , -0.4007409578876364 )
( 0.9076305220883534 , -0.3941489665593074 )
( 0.9116465863453814 , -0.38764218923056776 )
( 0.9156626506024096 , -0.38122419481118175 )
( 0.9196787148594376 , -0.3748984549644622 )
( 0.9236947791164658 , -0.36866834026923223 )
