
Samples for s = 0.1:
( 0 , 0.0 )
( 140 , -1.4425564277 )
( 141 , -1.15713046641 )
( 142 , -1.15713046641 )
( 143 , -1.64761680687 )
( 144 , -1.64761680687 )
( 145 , -1.64761680687 )
( 146 , -1.64761680687 )
( 147 , -1.43774888455 )
( 148 , 0.167697625583 )
( 149 , -0.548227114566 )
( 150 , -0.36576465069 )
( 151 , -0.36576465069 )
( 152 , 0.440355540993 )
( 153 , 1.14522641829 )
( 154 , 0.524044949407 )
( 155 , 0.524044949407 )
( 156 , 0.210668586232 )
( 157 , 1.33687271054 )
( 158 , 0.533541740703 )
( 159 , -1.28350342008 )
( 160 , -1.32734916217 )
( 161 , -1.32734916217 )
( 162 , -1.64747678528 )
( 163 , -2.0738295714 )
( 164 , -2.0738295714 )
( 165 , -2.0738295714 )
( 166 , -2.0738295714 )
( 167 , -0.870393310398 )
( 168 , -0.258240156594 )
( 169 , -0.258240156594 )
( 170 , -0.347674934349 )
( 171 , -1.0556696041 )
( 172 , -1.0556696041 )
( 173 , -2.1827223639 )
( 174 , -1.32667617526 )
( 175 , -1.51552355884 )
( 176 , -1.51552355884 )
( 177 , -1.09584758417 )
( 178 , -0.396339894679 )
( 179 , -0.396339894679 )
( 180 , -0.492812679808 )
( 181 , -1.17725085797 )
( 182 , -0.79308469738 )
( 183 , -0.79308469738 )
( 184 , 0.594091971988 )
( 185 , 0.594091971988 )
( 186 , 0.515481758674 )
( 187 , 1.23922697129 )
( 188 , 1.33805067645 )
( 189 , 1.28134387796 )
( 190 , 1.28134387796 )
( 191 , 0.834635566074 )
( 192 , -0.296043712468 )
( 193 , 0.0328026777498 )
( 194 , 0.294558100442 )
( 195 , 0.439660895505 )
( 196 , 1.0037709874 )
( 197 , 1.0037709874 )
( 198 , 1.0037709874 )
( 199 , 1.0037709874 )
