VALS	ROWIDX	COLIDX
-2.819146973459012422e-03	1.860000000000000000e+02	1.000000000000000000e+00
-6.370834279087071728e-02	4.900000000000000000e+01	1.000000000000000000e+00
-1.574262474312733071e-02	5.200000000000000000e+01	1.000000000000000000e+00
-6.370834279088263830e-02	5.400000000000000000e+01	1.000000000000000000e+00
-1.574262474311516682e-02	5.500000000000000000e+01	1.000000000000000000e+00
-2.701243108357909706e-01	6.600000000000000000e+01	1.000000000000000000e+00
-2.701243108357905265e-01	7.100000000000000000e+01	1.000000000000000000e+00
-2.916481591639233026e-02	8.300000000000000000e+01	1.000000000000000000e+00
6.563777038199548886e-02	1.210000000000000000e+02	1.000000000000000000e+00
4.061958554470660593e-02	1.270000000000000000e+02	1.000000000000000000e+00
6.563777038200573066e-02	1.320000000000000000e+02	1.000000000000000000e+00
4.061958554469850824e-02	1.330000000000000000e+02	1.000000000000000000e+00
2.266835494290209974e-01	1.170000000000000000e+02	1.000000000000000000e+00
3.481367050784425071e-02	1.230000000000000000e+02	1.000000000000000000e+00
2.266835494290213027e-01	1.800000000000000000e+02	1.000000000000000000e+00
3.481367050784166250e-02	1.830000000000000000e+02	1.000000000000000000e+00
-6.061040999962461623e-02	2.250000000000000000e+02	1.000000000000000000e+00
1.322071775749453339e-16	2.260000000000000000e+02	1.000000000000000000e+00
-1.954491993928430260e-01	2.270000000000000000e+02	1.000000000000000000e+00
3.100945112140351867e+01	2.000000000000000000e+00	2.000000000000000000e+00
-2.707964172007526216e+01	7.200000000000000000e+01	2.000000000000000000e+00
-2.707964172007525860e+01	8.900000000000000000e+01	2.000000000000000000e+00
1.062847926630913520e+01	8.500000000000000000e+01	2.000000000000000000e+00
5.245356556485085697e+00	2.400000000000000000e+01	2.000000000000000000e+00
5.245356556485091915e+00	3.300000000000000000e+01	2.000000000000000000e+00
2.139929469703762965e+00	1.810000000000000000e+02	2.000000000000000000e+00
2.139929469703815368e+00	1.930000000000000000e+02	2.000000000000000000e+00
-1.196003410896033126e+00	3.100000000000000000e+01	2.000000000000000000e+00
-1.341374327103847186e+00	7.100000000000000000e+01	2.000000000000000000e+00
-1.341374327104009279e+00	9.000000000000000000e+01	2.000000000000000000e+00
4.162830900049085958e-01	1.800000000000000000e+02	2.000000000000000000e+00
4.162830900049137584e-01	1.920000000000000000e+02	2.000000000000000000e+00
-1.070344239743128562e-01	1.820000000000000000e+02	2.000000000000000000e+00
-1.070344239743236947e-01	1.940000000000000000e+02	2.000000000000000000e+00
-1.821902111542413605e-01	9.000000000000000000e+00	2.000000000000000000e+00
