Mean vec: 
( 0.0 , 0.0 )
( 0.36947791164658633 , 0.3126949033554681 )
( 0.37349397590361444 , 0.28358391967131125 )
( 0.37751004016064255 , 0.25424839336317157 )
( 0.38152610441767065 , 0.2247095696697426 )
( 0.38554216867469876 , 0.1949887164736216 )
( 0.38955823293172687 , 0.1651071144244072 )
( 0.393574297188755 , 0.13508604693261728 )
( 0.3975903614457831 , 0.10494679001808717 )
( 0.4016064257028112 , 0.07471060199201301 )
( 0.4056224899598393 , 0.04439871295409574 )
( 0.40963855421686746 , 0.014032314086648345 )
( 0.41365461847389556 , -0.016367453280436706 )
( 0.41767068273092367 , -0.046779508851433074 )
( 0.4216867469879518 , -0.0771828448189013 )
( 0.4257028112449799 , -0.10755653761239767 )
( 0.429718875502008 , -0.13787975996966406 )
( 0.4337349397590361 , -0.1681317933513347 )
( 0.4377510040160642 , -0.19829204072861883 )
( 0.4417670682730923 , -0.22834003976630185 )
( 0.4457831325301204 , -0.2582554764226214 )
( 0.4497991967871485 , -0.288018198989344 )
( 0.4538152610441767 , -0.3176082325747335 )
( 0.4578313253012048 , -0.347005794035537 )
( 0.4618473895582329 , -0.37619130732514866 )
( 0.465863453815261 , -0.4051454191942074 )
( 0.4698795180722891 , -0.4338490151040287 )
( 0.4738955823293172 , -0.4622832350896114 )
( 0.47791164658634533 , -0.4904294890617787 )
( 0.48192771084337344 , -0.5182694705701109 )
( 0.48594377510040154 , -0.5457851670282189 )
( 0.48995983935742965 , -0.5729588619845465 )
( 0.4939759036144578 , -0.5997731181986803 )
( 0.4979919678714859 , -0.626210704247774 )
( 0.502008032128514 , -0.64739310465194 )
( 0.5060240963855421 , -0.6632557299054539 )
( 0.5100401606425702 , -0.6786401004065593 )
( 0.5140562248995983 , -0.693544959824255 )
( 0.5180722891566265 , -0.707969333633339 )
( 0.5220883534136546 , -0.7219126000810547 )
( 0.5261044176706827 , -0.7353745061300466 )
( 0.5301204819277108 , -0.748355165052204 )
( 0.5341365461847389 , -0.7608550466329499 )
( 0.538152610441767 , -0.7728749642520506 )
( 0.5421686746987951 , -0.7844160607424989 )
( 0.5461847389558232 , -0.7954797939459061 )
( 0.5502008032128514 , -0.8060679224322117 )
( 0.5542168674698794 , -0.8161824916132596 )
( 0.5582329317269076 , -0.8258258203721127 )
( 0.5622489959839357 , -0.8350004882545126 )
( 0.5662650602409638 , -0.843709323236367 )
( 0.570281124497992 , -0.8519553900629899 )
( 0.57429718875502 , -0.8597419791388512 )
( 0.5783132530120482 , -0.867072595947301 )
( 0.5823293172690762 , -0.8739509509710198 )
( 0.5863453815261044 , -0.8803809500884824 )
( 0.5903614457831324 , -0.8863666854166858 )
( 0.5943775100401606 , -0.8919124265761151 )
( 0.5983935742971886 , -0.8970226123517311 )
( 0.6024096385542168 , -0.9017018427263792 )
( 0.606425702811245 , -0.9059548712645124 )
( 0.610441767068273 , -0.9097865978253554 )
( 0.6144578313253012 , -0.9132020615864761 )
( 0.6184738955823292 , -0.9162064343577896 )
( 0.6224899598393574 , -0.9188050141720892 )
( 0.6265060240963854 , -0.9210032191332481 )
( 0.6305220883534136 , -0.9228065815088028 )
( 0.6345381526104417 , -0.9242207420537536 )
( 0.6385542168674698 , -0.9252514445511573 )
( 0.642570281124498 , -0.9259045305586451 )
( 0.646586345381526 , -0.9261859343491989 )
( 0.6506024096385542 , -0.9261016780352964 )
( 0.6546184738955823 , -0.9256578668685969 )
( 0.6586345381526104 , -0.9248606847012304 )
( 0.6626506024096385 , -0.9237163896066243 )
( 0.6666666666666666 , -0.9222313096451369 )
( 0.6706827309236947 , -0.9204118387708617 )
( 0.6746987951807228 , -0.9182644328711741 )
( 0.6787148594377509 , -0.915795605931541 )
( 0.6827309236947791 , -0.9130119263197671 )
( 0.6867469879518072 , -0.9099200131830915 )
( 0.6907630522088353 , -0.906526532952536 )
( 0.6947791164658634 , -0.9028381959489263 )
( 0.6987951807228915 , -0.8988617530841055 )
( 0.7028112449799196 , -0.8946039926548663 )
( 0.7068273092369477 , -0.8900717372216131 )
( 0.7108433734939759 , -0.8852718405691332 )
( 0.7148594377510039 , -0.8802111847454186 )
( 0.7188755020080321 , -0.8748966771716197 )
( 0.7228915662650601 , -0.869335247822331 )
( 0.7269076305220883 , -0.8635338464699558 )
( 0.7309236947791165 , -0.8574994399900909 )
( 0.7349397590361445 , -0.8512390097248435 )
( 0.7389558232931727 , -0.8447595488989594 )
( 0.7429718875502007 , -0.8380680600867667 )
( 0.7469879518072289 , -0.8311715527265516 )
( 0.7510040160642569 , -0.8240770406773916 )
( 0.7550200803212851 , -0.8167915398175575 )
( 0.7590361445783131 , -0.8093220656794057 )
( 0.7630522088353413 , -0.8016756311184968 )
( 0.7670682730923694 , -0.7938592440145853 )
( 0.7710843373493975 , -0.7858799049995457 )
( 0.7751004016064257 , -0.7777446052115589 )
( 0.7791164658634537 , -0.7694603240705743 )
( 0.7831325301204819 , -0.7610340270735505 )
( 0.78714859437751 , -0.752472663605934 )
( 0.7911646586345381 , -0.7437831647657446 )
( 0.7951807228915662 , -0.7349724411986776 )
( 0.7991967871485943 , -0.7260473809404724 )
( 0.8032128514056224 , -0.7170148472632217 )
( 0.8072289156626505 , -0.7078816765226471 )
( 0.8112449799196786 , -0.6986546760040155 )
( 0.8152610441767068 , -0.6893406217617535 )
( 0.8192771084337349 , -0.679946256451549 )
( 0.823293172690763 , -0.6704782871493471 )
( 0.8273092369477911 , -0.6609433831550615 )
( 0.8313253012048192 , -0.6513481737769109 )
( 0.8353413654618473 , -0.6416992460916467 )
( 0.8393574297188754 , -0.632003142678946 )
( 0.8433734939759036 , -0.6222663593214061 )
( 0.8473895582329316 , -0.6124953426707577 )
( 0.8514056224899598 , -0.6026964878704295 )
