

Mean vec: 
( 0.0 , 1.4210854715202004e-14 )
( 0.22489959839357426 , 0.7225240895586525 )
( 0.2289156626506024 , 0.7113922371217112 )
( 0.2329317269076305 , 0.6997457368509739 )
( 0.2369477911646586 , 0.68759578926585 )
( 0.24096385542168672 , 0.6749535504894562 )
( 0.24497991967871482 , 0.6618301441230066 )
( 0.24899598393574296 , 0.6482366721742779 )
( 0.25301204819277107 , 0.6341842249893627 )
( 0.2570281124497992 , 0.6196838902057831 )
( 0.2610441767068273 , 0.6047467607734937 )
( 0.2650602409638554 , 0.5893839421012659 )
( 0.2690763052208835 , 0.5736065583959612 )
( 0.2730923694779116 , 0.5574257582597434 )
( 0.2771084337349397 , 0.5408527196055384 )
( 0.28112449799196787 , 0.5238986539535329 )
( 0.285140562248996 , 0.5065748101582369 )
( 0.2891566265060241 , 0.4888924776176805 )
( 0.2931726907630522 , 0.47086298900981366 )
( 0.2971887550200803 , 0.452497722594512 )
( 0.3012048192771084 , 0.43380810411533277 )
( 0.3052208835341365 , 0.41480560833899527 )
( 0.3092369477911646 , 0.3955017602554968 )
( 0.3132530120481927 , 0.3759081359675488 )
( 0.31726907630522083 , 0.356036363290952 )
( 0.321285140562249 , 0.3358981220860324 )
( 0.3253012048192771 , 0.3155051443398777 )
( 0.3293172690763052 , 0.29486921401373933 )
( 0.3333333333333333 , 0.2740021666700731 )
( 0.3373493975903614 , 0.25291588889104577 )
( 0.34136546184738953 , 0.23162231750150802 )
( 0.34538152610441764 , 0.21013343860409345 )
( 0.34939759036144574 , 0.18846128643565596 )
( 0.35341365461847385 , 0.16661794205126335 )
( 0.35742971887550196 , 0.14461553184557716 )
( 0.36144578313253006 , 0.12246622591166613 )
( 0.3654618473895582 , 0.10018223624529506 )
( 0.36947791164658633 , 0.07777581479827833 )
( 0.37349397590361444 , 0.05525925138517461 )
( 0.37751004016064255 , 0.03264487144162091 )
( 0.38152610441767065 , 0.009945033640631429 )
( 0.38554216867469876 , -0.012827872631133178 )
( 0.38955823293172687 , -0.03566142993780008 )
( 0.393574297188755 , -0.05854319559906421 )
( 0.3975903614457831 , -0.08146070462814434 )
( 0.4016064257028112 , -0.10440147280814478 )
( 0.4056224899598393 , -0.12735299990361743 )
( 0.40963855421686746 , -0.15030277299784528 )
( 0.41365461847389556 , -0.1732382699654128 )
( 0.41767068273092367 , -0.19614696306418117 )
( 0.4216867469879518 , -0.21901632264633025 )
( 0.4257028112449799 , -0.24183382097627265 )
( 0.429718875502008 , -0.26458693614865864 )
( 0.4337349397590361 , -0.28726315608141145 )
( 0.4377510040160642 , -0.3098499825662926 )
( 0.4417670682730923 , -0.33233493534349756 )
( 0.4457831325301204 , -0.3547055561470145 )
( 0.4497991967871485 , -0.37694941266792553 )
( 0.4538152610441767 , -0.39905410233292093 )
( 0.4578313253012048 , -0.4210072557757158 )
( 0.4618473895582329 , -0.4427965398120892 )
( 0.465863453815261 , -0.46440965963184533 )
( 0.4698795180722891 , -0.485834359795858 )
( 0.4738955823293172 , -0.5070584233722235 )
( 0.47791164658634533 , -0.528069668136048 )
( 0.48192771084337344 , -0.5488559379913727 )
( 0.48594377510040154 , -0.5694050862245533 )
( 0.48995983935742965 , -0.5897049436887183 )
( 0.4939759036144578 , -0.6097432556274194 )
( 0.4979919678714859 , -0.6295075366864266 )
( 0.502008032128514 , -0.644821047296197 )
( 0.5060240963855421 , -0.6555828795239956 )
( 0.5100401606425702 , -0.665927941140205 )
( 0.5140562248995983 , -0.6758590238481751 )
( 0.5180722891566265 , -0.6853788349008355 )
( 0.5220883534136546 , -0.6944901309002689 )
( 0.5261044176706827 , -0.7031957729217986 )
( 0.5301204819277108 , -0.7114987520981966 )
( 0.5341365461847389 , -0.7194022013353554 )
( 0.538152610441767 , -0.7269093997224895 )
( 0.5421686746987951 , -0.7340237728035903 )
( 0.5461847389558232 , -0.7407488904167723 )
( 0.5502008032128514 , -0.7470884630719538 )
( 0.5542168674698794 , -0.7530463374511183 )
( 0.5582329317269076 , -0.7586264913996205 )
( 0.5622489959839357 , -0.763833028641161 )
( 0.5662650602409638 , -0.7686701733661067 )
( 0.570281124497992 , -0.7731422648034992 )
( 0.57429718875502 , -0.7772537518323827 )
( 0.5783132530120482 , -0.7810091876869671 )
( 0.5823293172690762 , -0.7844132247785334 )
( 0.5863453815261044 , -0.7874706096543216 )
( 0.5903614457831324 , -0.7901861781049115 )
( 0.5943775100401606 , -0.792564850425378 )
( 0.5983935742971886 , -0.7946116268327126 )
( 0.6024096385542168 , -0.7963315830368148 )
( 0.606425702811245 , -0.7977298659678969 )
( 0.610441767068273 , -0.7988116896521401 )
( 0.6144578313253012 , -0.7995823312329609 )
( 0.6184738955823292 , -0.8000471271343371 )
( 0.6224899598393574 , -0.8002114693584792 )
( 0.6265060240963854 , -0.8000808019171908 )
( 0.6305220883534136 , -0.7996606173852405 )
( 0.6345381526104417 , -0.7989564535765364 )
( 0.6385542168674698 , -0.7979738903330812 )
( 0.642570281124498 , -0.7967185464265463 )
( 0.646586345381526 , -0.7951960765611938 )
( 0.6506024096385542 , -0.7934121684789286 )
( 0.6546184738955823 , -0.7913725401608677 )
( 0.6586345381526104 , -0.7890829371146449 )
( 0.6626506024096385 , -0.7865491297544898 )
( 0.6666666666666666 , -0.7837769108593414 )
( 0.6706827309236947 , -0.7807720931106268 )
( 0.6746987951807228 , -0.7775405067036046 )
( 0.6787148594377509 , -0.7740879970300183 )
( 0.6827309236947791 , -0.7704204224285038 )
( 0.6867469879518072 , -0.7665436519965475 )
( 0.6907630522088353 , -0.7624635634650905 )
( 0.6947791164658634 , -0.7581860411283169 )
( 0.6987951807228915 , -0.753716973829087 )
( 0.7028112449799196 , -0.7490622529950264 )
( 0.7068273092369477 , -0.7442277707224982 )
( 0.7108433734939759 , -0.7392194179061312 )
( 0.7148594377510039 , -0.7340430824127819 )
( 0.7188755020080321 , -0.7287046472938402 )
( 0.7228915662650601 , -0.7232099890362138 )
( 0.7269076305220883 , -0.717564975849487 )
( 0.7309236947791165 , -0.7117754659845301 )
( 0.7349397590361445 , -0.7058473060846374 )
( 0.7389558232931727 , -0.6997863295638795 )
( 0.7429718875502007 , -0.6935983550117086 )
( 0.7469879518072289 , -0.6872891846228282 )
( 0.7510040160642569 , -0.6808646026481217 )
( 0.7550200803212851 , -0.6743303738660624 )
( 0.7590361445783131 , -0.667692242070724 )
( 0.7630522088353413 , -0.6609559285772884 )
( 0.7670682730923694 , -0.6541271307404058 )
( 0.7710843373493975 , -0.647211520482458 )
( 0.7751004016064257 , -0.6402147428363478 )
