Prior density:
( 0.582329317269 , 3.10400323217 )
( 0.586345381526 , 2.86155488841 )
( 0.590361445783 , 2.61069483164 )
( 0.59437751004 , 2.35697445404 )
( 0.598393574297 , 2.10560598885 )
( 0.602409638554 , 1.86126591607 )
( 0.606425702811 , 1.62794753878 )
( 0.610441767068 , 1.40886658186 )
( 0.614457831325 , 1.20641941345 )
( 0.618473895582 , 1.02218975047 )
( 0.622489959839 , 0.85699677195 )
( 0.626506024096 , 0.710975597258 )
( 0.630522088353 , 0.583680139774 )
( 0.63453815261 , 0.474198357791 )
( 0.638554216867 , 0.381270740906 )
( 0.642570281124 , 0.303404283601 )
( 0.646586345382 , 0.23897597354 )
( 0.650602409639 , 0.186321732418 )
( 0.654618473896 , 0.143808593937 )
( 0.658634538153 , 0.109889534827 )
( 0.66265060241 , 0.0831416925291 )
( 0.666666666667 , 0.0622896614192 )
( 0.670682730924 , 0.0462161584032 )
( 0.674698795181 , 0.0339626235423 )
( 0.678714859438 , 0.024722329778 )
( 0.682730923695 , 0.0178283865408 )
( 0.686746987952 , 0.0127387042768 )
( 0.690763052209 , 0.00901960325484 )
( 0.694779116466 , 0.00632935148366 )
( 0.698795180723 , 0.00440254083191 )
( 0.70281124498 , 0.00303588178683 )
( 0.706827309237 , 0.00207572825186 )
( 0.710843373494 , 0.00140743751271 )
( 0.714859437751 , 0.000946523449579 )
( 0.718875502008 , 0.000631465531531 )
( 0.722891566265 , 0.000417982378815 )
( 0.726907630522 , 0.000274556631527 )
( 0.730923694779 , 0.00017899816852 )
( 0.734939759036 , 0.000115847407378 )
( 0.738955823293 , 7.44431565157e-05 )
( 0.74297188755 , 4.7505594897e-05 )
( 0.746987951807 , 3.0111201856e-05 )
( 0.751004016064 , 1.89608377169e-05 )
( 0.755020080321 , 1.18636034646e-05 )
( 0.759036144578 , 7.37716782006e-06 )
( 0.763052208835 , 4.5599649122e-06 )
( 0.767068273092 , 2.8023183017e-06 )
( 0.771084337349 , 1.71254988808e-06 )
( 0.775100401606 , 1.04093766834e-06 )
( 0.779116465863 , 6.29430781028e-07 )
( 0.78313253012 , 3.78703242998e-07 )
( 0.787148594378 , 2.26758605855e-07 )
( 0.791164658635 , 1.35153691478e-07 )
( 0.795180722892 , 8.02004377157e-08 )
( 0.799196787149 , 4.73909146274e-08 )
( 0.803212851406 , 2.78912001696e-08 )
( 0.807228915663 , 1.63522151393e-08 )
( 0.81124497992 , 9.55225577914e-09 )
( 0.815261044177 , 5.56079629696e-09 )
( 0.819277108434 , 3.22663906304e-09 )
( 0.823293172691 , 1.86648983737e-09 )
( 0.827309236948 , 1.07656660338e-09 )
( 0.831325301205 , 6.19259949258e-10 )
( 0.835341365462 , 3.55301604469e-10 )
( 0.839357429719 , 2.03370089271e-10 )
( 0.843373493976 , 1.1614877834e-10 )
( 0.847389558233 , 6.61987762942e-11 )
( 0.85140562249 , 3.76583412637e-11 )
( 0.855421686747 , 2.13852561337e-11 )
( 0.859437751004 , 1.2124777603e-11 )
( 0.863453815261 , 6.86437433881e-12 )
( 0.867469879518 , 3.88110581035e-12 )
( 0.871485943775 , 2.19176737347e-12 )
( 0.875502008032 , 1.23643849163e-12 )
( 0.879518072289 , 6.96853913162e-13 )
( 0.883534136546 , 3.92420417648e-13 )
( 0.887550200803 , 2.20825303537e-13 )
( 0.89156626506 , 1.24187379294e-13 )
( 0.895582329317 , 6.98037323776e-14 )
( 0.899598393574 , 3.92184717906e-14 )
( 0.903614457831 , 2.20266711899e-14 )
( 0.907630522088 , 1.2367604771e-14 )
( 0.911646586345 , 6.94272816701e-15 )
( 0.915662650602 , 3.89680597239e-15 )
( 0.919678714859 , 2.18697875025e-15 )
( 0.923694779116 , 1.22731898676e-15 )
( 0.927710843373 , 6.88754129846e-16 )
( 0.931726907631 , 3.86525730637e-16 )
( 0.935742971888 , 2.16925378678e-16 )
( 0.939759036145 , 1.21749494579e-16 )
( 0.943775100402 , 6.83364876122e-17 )
( 0.947791164659 , 3.8359010797e-17 )
( 0.951807228916 , 2.15332073811e-17 )
( 0.955823293173 , 1.20884519219e-17 )
( 0.95983935743 , 6.78647273931e-18 )
( 0.963855421687 , 3.80992625973e-18 )
( 0.967871485944 , 2.13881114735e-18 )
