Matern 0.25:
( 2.248743718592965 , 0.4204110787263354 )
( 2.273869346733669 , 0.4143988246679644 )
( 2.298994974874372 , 0.4084506145435365 )
( 2.324120603015075 , 0.4025664768150928 )
( 2.349246231155779 , 0.3967464090478659 )
( 2.374371859296483 , 0.39099037922716456 )
( 2.399497487437186 , 0.38529832703288225 )
( 2.42462311557789 , 0.379670165072843 )
( 2.449748743718593 , 0.3741057800761698 )
( 2.474874371859296 , 0.3686050340478181 )
( 2.5 , 0.363167765385402 )
